Demonstrate knowledge of the retail sector in New Zealand,402,Unit,6,2,2,Registered,Current,Service Sector,"Retail, Distribution, and Sales",Retail and Distribution Core Skills
"Prepare, package, and price goods for sale",404,Unit,4,2,2,Registered,Current,Service Sector,"Retail, Distribution, and Sales",Stock Control
Demonstrate knowledge of consumerism,405,Unit,9,2,3,Registered,Current,Service Sector,"Retail, Distribution, and Sales",Retail and Distribution Core Skills
Create window displays in a retail or distribution environment,420,Unit,4,3,3,Registered,Current,Service Sector,"Retail, Distribution, and Sales",Merchandising and Marketing
Create in-store displays in a retail environment,422,Unit,4,3,3,Registered,Current,Service Sector,"Retail, Distribution, and Sales",Merchandising and Marketing
Work with helicopters,423,Unit,7,3,3,Registered,Current,Service Sector,Aviation,Aircraft Operation
Assess and manage an emergency care situation during an outdoor recreation activity,424,Unit,8,3,5,Registered,Current,Community and Social Services,Outdoor Recreation,Outdoor First Aid
Experience day tramps,425,Unit,6,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Tramping
Experience camping,426,Unit,6,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Tramping
Cross rivers,427,Unit,7,3,2,Registered,Current,Community and Social Services,Outdoor Recreation,Tramping
Demonstrate tramping skills for multi-night tramping as a member of a group,428,Unit,8,3,15,Registered,Current,Community and Social Services,Outdoor Recreation,Outdoor Experiences
Demonstrate bush survival skills,430,Unit,7,3,3,Registered,Current,Community and Social Services,Outdoor Recreation,Tramping
Navigate in good visibility on land,431,Unit,6,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Outdoor Navigation
"Participate in building, and camping overnight in, a snow shelter",438,Unit,6,2,2,Registered,Current,Community and Social Services,Outdoor Recreation,Mountain Craft
Demonstrate overnight expedition skills in a mountain environment,439,Unit,7,3,8,Registered,Current,Community and Social Services,Outdoor Recreation,Mountain Craft
Demonstrate basic rock climbing movement,444,Unit,7,2,1,Registered,Current,Community and Social Services,Outdoor Recreation,Rock Climbing
Experience a caving trip,448,Unit,6,1,1,Registered,Current,Community and Social Services,Outdoor Recreation,Caving
Mountain bike on intermediate to expert terrain,457,Unit,6,2,2,Registered,Current,Community and Social Services,Outdoor Recreation,Mountain Biking
Complete a cycle tour,459,Unit,6,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Cycle Touring
Windsurf in winds of less than 10 knots and a chop of less than 40cm,460,Unit,6,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Windsurfing
Demonstrate windsurfing techniques on a longboard,461,Unit,7,3,4,Registered,Current,Community and Social Services,Outdoor Recreation,Windsurfing
Demonstrate shortboard sailing techniques,462,Unit,7,3,5,Registered,Current,Community and Social Services,Outdoor Recreation,Windsurfing
Demonstrate personal and social development through participation in adventure based learning,467,Unit,5,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Adventure Based Learning
Assist in facilitation of an adventure based learning programme for the development of the participants,468,Unit,5,3,6,Registered,Current,Community and Social Services,Outdoor Recreation,Adventure Based Learning
Demonstrate personal and social development through participation in a low ropes course programme,470,Unit,5,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Adventure Based Learning
Assist in facilitation of a low ropes course programme for the development of the participants,471,Unit,5,3,6,Registered,Current,Community and Social Services,Outdoor Recreation,Adventure Based Learning
Demonstrate personal and social development through participation in a high ropes course programme,473,Unit,6,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Adventure Based Learning
Assist in facilitation of a high ropes course programme for the development of the participants,474,Unit,7,3,6,Expiring,Current,Community and Social Services,Outdoor Recreation,Adventure Based Learning
Roll a kayak,476,Unit,6,2,2,Registered,Current,Community and Social Services,Outdoor Recreation,Canoeing - Kayaking
Roll a decked open canoe,480,Unit,6,2,1,Registered,Current,Community and Social Services,Outdoor Recreation,Canoeing - Kayaking
Demonstrate rafting skills on sheltered or slow-moving water,485,Unit,7,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Rafting
Demonstrate sea kayaking skills on sheltered or slow-moving water,489,Unit,7,2,3,Registered,Current,Community and Social Services,Outdoor Recreation,Canoeing - Kayaking
"Produce, implement, and reflect on a plan to improve own personal wellbeing",496,Unit,10,1,3,Registered,Current,Core Generic,Core Generic,Self-Management
Demonstrate knowledge of workplace health and safety requirements,497,Unit,10,1,3,Registered,Current,Health,Occupational Health and Safety,Occupational Health and Safety Practice
Produce a CV (curriculum vitae),504,Unit,8,1,2,Registered,Current,Core Generic,Core Generic,Work and Study Skills
Manage personal physical fitness with guidance,505,Unit,6,1,3,Registered,Current,Community and Social Services,Fitness,Fitness Education
Recognise sexual harassment and describe ways of responding,525,Unit,10,2,3,Registered,Current,Core Generic,Core Generic,Social and Cooperative Skills
Describe community agencies and services provided,526,Unit,7,1,2,Registered,Current,Core Generic,Core Generic,Social and Cooperative Skills
Demonstrate survival techniques for a Civil Defence emergency,528,Unit,7,2,3,Registered,Current,Community and Social Services,Civil Defence,Civil Defence Operation
Recognise discrimination and describe ways of responding,542,Unit,7,2,3,Registered,Current,Core Generic,Core Generic,Social and Cooperative Skills
Work in a new workplace,543,Unit,8,1,3,Registered,Current,Core Generic,Core Generic,Work and Study Skills
Demonstrate knowledge of the impact of alcohol and other drugs,548,Unit,9,1,3,Registered,Current,Core Generic,Core Generic,Self-Management
Demonstrate knowledge of the aluminium joinery industry,550,Unit,5,2,8,Registered,Current,Manufacturing,Joinery,Architectural Aluminium Joinery
"Store, handle and check aluminium joinery extrusions and components",551,Unit,5,3,5,Registered,Current,Manufacturing,Joinery,Architectural Aluminium Joinery
Assemble aluminium joinery products,554,Unit,5,3,15,Registered,Current,Manufacturing,Joinery,Architectural Aluminium Joinery
Prepare and fit reveals for aluminium joinery products,555,Unit,5,3,8,Registered,Current,Manufacturing,Joinery,Architectural Aluminium Joinery
Glaze aluminium joinery products,556,Unit,4,3,10,Registered,Current,Planning and Construction,Construction Trades,Architectural Aluminium Joinery
"Check, store, load and despatch finished aluminium joinery products",557,Unit,5,3,5,Registered,Current,Manufacturing,Joinery,Architectural Aluminium Joinery
"Install, dismantle, and store temporary electric fences",561,Unit,5,2,2,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Fencing
Demonstrate knowledge of wool production,571,Unit,4,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Sheep Farming
Demonstrate knowledge of electric fencing components and systems,572,Unit,4,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Fencing
"Construct, energize, and test permanent electric fences",573,Unit,4,3,10,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Fencing
Prepare and harvest hay or silage,574,Unit,4,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Farming Skills
Use and care for farm horses,575,Unit,5,3,10,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Farming Skills
Demonstrate knowledge of a specific landbased primary industry,576,Unit,4,3,4,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,General Agriculture
Dag and crutch sheep with prepared equipment,577,Unit,6,2,5,Expiring,Current,"Agriculture, Forestry and Fisheries",Agriculture,Sheep Farming
Kill and prepare a sheep for dog food,578,Unit,4,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Sheep Farming
Dock and treat lambs,581,Unit,4,3,4,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Sheep Farming
Handle livestock when moving and drafting and when livestock are distressed,582,Unit,4,3,6,Registered,Current,"Agriculture, Forestry and Fisheries",Agriculture,Farming Skills
Set circular saws,656,Unit,5,2,3,Registered,Current,Manufacturing,Solid Wood Manufacturing,Saw Doctoring
Grind and hone straight knives and anvils,662,Unit,5,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Saw Doctoring
Demonstrate knowledge of grinding wheels and fluids,669,Unit,7,2,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Saw Doctoring
Set up a timber planer for dress four sides,675,Unit,5,3,20,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
"Feed and tail out a planer, and monitor planer performance",678,Unit,6,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Joint straight cutters,681,Unit,6,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Joint profile cutters,682,Unit,6,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Grind and hone straight cutters,684,Unit,6,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Grind and hone straight cutters in-head,685,Unit,6,3,3,Expiring,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Set cutters into cutterheads,689,Unit,6,3,10,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Make straight cutters,690,Unit,6,2,3,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Machining
Saw wood panels using a panel saw system,698,Unit,9,3,10,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Panel Manufacturing Skills
Grade wood panels visually,700,Unit,9,3,5,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Panel Manufacturing Skills
Stack and pack wood panels,702,Unit,8,3,5,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Panel Manufacturing Skills
Coordinate infeed of bolts for laminated veneer lumber and plywood manufacture,712,Unit,7,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Laminated Veneer Lumber and Plywood Manufacturing
Grade veneers for laminated veneer lumber and plywood manufacture,713,Unit,7,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Laminated Veneer Lumber and Plywood Manufacturing
Clip and stack laminated veneer lumber and plywood veneers,726,Unit,7,3,5,Registered,Current,Manufacturing,Solid Wood Manufacturing,Laminated Veneer Lumber and Plywood Manufacturing
Measure moisture content of wood products,729,Unit,8,2,5,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Demonstrate knowledge of physical characteristics of wood,736,Unit,7,2,5,Registered,Current,Manufacturing,Wood Manufacturing - Generic Skills,Wood Manufacturing Foundation Skills
Operate timber drying kiln,738,Unit,6,3,25,Registered,Current,Manufacturing,Solid Wood Manufacturing,Timber Drying and Treatment
Operate a wood slabber,739,Unit,6,3,3,Expiring,Current,Manufacturing,Wood Handling and Distribution,Wood Preparation
Operate a wood chipper,740,Unit,6,3,3,Registered,Current,Manufacturing,Wood Handling and Distribution,Wood Preparation
Demonstrate knowledge of electrical test instruments and take measurements,750,Unit,8,2,2,Registered,Current,Engineering and Technology,Electrical Engineering,Core Electrical
Demonstrate knowledge of the production horticulture industry in New Zealand,771,Unit,4,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Use and maintain a grape leaf trimmer,774,Unit,6,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Viticulture
Artificially pollinate a kiwifruit crop,775,Unit,5,3,2,Expiring,Current,"Agriculture, Forestry and Fisheries",Horticulture,Fruit Production
Build and maintain support structures for fruit crops,791,Unit,6,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Fruit Production
Build and maintain a covering structure for a fruit crop,792,Unit,6,3,6,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Fruit Production
Control the greenhouse environment,794,Unit,5,3,5,Expiring,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Store fruit,811,Unit,5,2,3,Expiring,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Demonstrate knowledge of fruit production in New Zealand,816,Unit,5,2,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Fruit Production
Demonstrate knowledge of plant nomenclature,829,Unit,5,2,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Train and prune fruit trees,830,Unit,6,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Train and prune young and mature vine crops,831,Unit,5,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Prune and tie up brambles,832,Unit,6,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Production Horticulture
Prune and disbud a floriculture crop,833,Unit,6,3,5,Registered,Current,"Agriculture, Forestry and Fisheries",Horticulture,Floriculture
Repair plastic automotive components,876,Unit,6,3,7,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Plastic Repair
"Identify functions of automotive lighting systems, rectify lighting faults, and adjust vehicle lamps",877,Unit,6,3,5,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Repair an engine cooling system,878,Unit,6,3,4,Expiring,Current,Engineering and Technology,Motor Industry,Engine Repairs
Rectify faults associated with a motor vehicle body,882,Unit,5,3,3,Registered,Current,Engineering and Technology,Motor Industry,Vehicle Bodywork
Check and adjust vehicle front and rear wheel alignment,883,Unit,4,3,4,Registered,Current,Engineering and Technology,Motor Industry,Vehicle Steering and Suspension
"Dismantle, inspect, and overhaul vehicle manual steering boxes and rack assemblies",884,Unit,4,3,2,Registered,Current,Engineering and Technology,Motor Industry,Vehicle Steering and Suspension
Overhaul starter motors from light vehicles,888,Unit,4,3,3,Registered,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Identify a wiring diagram and translate information to a circuit in the motor and related industries,898,Unit,4,3,3,Registered,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Carry out automotive wiring repairs and test circuits for serviceability,899,Unit,6,3,3,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
Test a vehicle heating and ventilation system,902,Unit,4,3,3,Registered,Current,Engineering and Technology,Motor Industry,"Automotive Heating, Ventilation, and Air Conditioning"
"Diagnose faults in an automotive generator type charging system, and overhaul a DC generator",904,Unit,6,3,5,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
"Install electrical accessories in vehicles, and test for and rectify faults",909,Unit,4,3,2,Registered,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
"Remove, repair, and replace vehicle body interior components",912,Unit,5,3,3,Registered,Current,Engineering and Technology,Motor Industry,Vehicle Bodywork
Use the oxy-acetylene process for welding and allied uses in the motor industry,913,Unit,6,3,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Workshop Engineering
Metal-arc gas shield (MIG) weld automotive components,914,Unit,6,3,4,Expiring,Current,Engineering and Technology,Motor Industry,Automotive Workshop Engineering
"Service multiple battery installations on vehicles, machines, and/or units",915,Unit,4,3,3,Registered,Current,Engineering and Technology,Motor Industry,Automotive Electrical and Electronics
